Registration Year,Age at Registration,Gender,Perm ZIP Code,Mailing ZIP Code,Status Code,Precinct ID,US Congressional District,_merge,Age
1900.0,-87.0,2,2,2,2,2,2,2,2
1900.0,-86.0,3,3,3,3,3,3,3,3
1900.0,-85.0,4,4,4,4,4,4,4,4
1900.0,-84.0,2,2,2,2,2,2,2,2
1900.0,-83.0,3,3,3,3,3,3,3,3
1900.0,-82.0,4,4,4,4,4,4,4,4
1900.0,-81.0,2,2,2,2,2,2,2,2
1900.0,-80.0,3,3,3,3,3,3,3,3
1900.0,-79.0,5,5,5,5,5,5,5,5
1900.0,-78.0,1,1,1,1,1,1,1,1
1900.0,-77.0,3,3,3,3,3,3,3,3
1900.0,-76.0,1,1,1,1,1,1,1,1
1900.0,-75.0,2,2,2,2,2,2,2,2
1900.0,-74.0,1,1,1,1,1,1,1,1
1900.0,-73.0,1,1,1,1,1,1,1,1
1900.0,-72.0,1,1,1,1,1,1,1,1
1900.0,-71.0,4,4,4,4,3,3,4,4
1900.0,-70.0,3,3,3,3,3,3,3,3
1900.0,-69.0,1,1,1,1,1,1,1,1
1900.0,-68.0,2,2,2,2,2,2,2,2
1900.0,-67.0,4,4,4,4,4,4,4,4
1900.0,-66.0,3,3,3,3,3,3,3,3
1900.0,-64.0,3,3,3,3,3,3,3,3
1900.0,-63.0,3,3,3,3,3,3,3,3
1900.0,-62.0,1,1,1,1,1,1,1,1
1900.0,-61.0,5,5,5,5,5,5,5,5
1900.0,-60.0,1,1,1,1,1,1,1,1
1900.0,-59.0,2,2,2,2,2,2,2,2
1900.0,-58.0,2,2,2,2,2,2,2,2
1900.0,-57.0,3,3,3,3,3,3,3,3
1900.0,-55.0,4,4,4,4,4,4,4,4
1900.0,-52.0,4,4,4,4,4,4,4,4
1900.0,-51.0,3,3,3,3,3,3,3,3
1900.0,-50.0,2,2,2,2,2,2,2,2
1900.0,-49.0,2,2,2,2,1,1,2,2
1900.0,-48.0,3,3,3,3,3,3,3,3
1900.0,-47.0,3,3,3,3,3,3,3,3
1900.0,-44.0,1,1,1,1,1,1,1,1
1900.0,-42.0,1,1,1,1,1,1,1,1
1900.0,-41.0,2,2,2,2,2,2,2,2
1900.0,-40.0,2,2,2,2,2,2,2,2
1900.0,-39.0,3,3,3,3,3,3,3,3
1900.0,-38.0,4,4,4,4,4,4,4,4
1900.0,-37.0,1,1,1,1,1,1,1,1
1900.0,-36.0,2,2,2,2,2,2,2,2
1900.0,-33.0,3,3,3,3,3,3,3,3
1900.0,-32.0,2,2,2,2,2,2,2,2
1900.0,-26.0,1,1,1,1,1,1,1,1
1903.0,-81.0,1,1,1,1,1,1,1,1
1906.0,-73.0,1,1,1,1,1,1,1,1
1908.0,-81.0,1,1,1,1,1,1,1,1
1908.0,-68.0,1,1,1,1,1,1,1,1
1908.0,-67.0,1,1,1,1,1,1,1,1
1918.0,18.0,2,2,2,2,2,2,2,2
1924.0,0.0,1,1,1,1,1,1,1,1
1930.0,-54.0,1,1,1,1,1,1,1,1
1930.0,0.0,1,1,1,1,1,1,1,1
1932.0,0.0,1,1,1,1,1,1,1,1
1935.0,0.0,1,1,1,1,1,1,1,1
1938.0,0.0,2,2,2,2,2,2,2,2
1939.0,0.0,2,2,2,2,2,2,2,2
1940.0,-45.0,1,1,1,1,1,1,1,1
1940.0,-44.0,1,1,1,1,1,1,1,1
1940.0,-14.0,1,1,1,1,1,1,1,1
1941.0,-53.0,1,1,1,1,1,1,1,1
1941.0,0.0,1,1,1,1,1,1,1,1
1941.0,1.0,1,1,1,1,1,1,1,1
1942.0,0.0,1,1,1,1,1,1,1,1
1942.0,18.0,2,2,2,2,2,2,2,2
1943.0,0.0,1,1,1,1,1,1,1,1
1943.0,18.0,1,1,1,1,1,1,1,1
1944.0,-42.0,1,1,1,1,1,1,1,1
1944.0,-4.0,1,1,1,1,1,1,1,1
1944.0,0.0,3,3,3,3,3,3,3,3
1944.0,18.0,2,2,2,2,2,2,2,2
1945.0,18.0,2,2,2,2,2,2,2,2
1946.0,0.0,2,2,2,2,2,2,2,2
1946.0,18.0,1,1,1,1,1,1,1,1
1947.0,0.0,3,3,3,3,3,3,3,3
1947.0,18.0,2,2,2,2,2,2,2,2
1948.0,-42.0,1,1,1,1,1,1,1,1
1948.0,0.0,1,1,1,1,1,1,1,1
1948.0,1.0,1,1,1,1,1,1,1,1
1948.0,18.0,2,2,2,2,2,2,2,2
1949.0,0.0,1,1,1,1,1,1,1,1
1949.0,18.0,5,5,5,5,4,5,5,5
1950.0,18.0,1,1,1,1,1,1,1,1
1950.0,26.0,1,1,1,1,1,1,1,1
1951.0,0.0,2,2,2,2,2,2,2,2
1951.0,18.0,4,4,4,4,4,4,4,4
1951.0,19.0,1,1,1,1,1,1,1,1
1952.0,-34.0,1,1,1,1,1,1,1,1
1952.0,0.0,3,3,3,3,3,3,3,3
1952.0,18.0,5,5,5,5,5,5,5,5
1952.0,20.0,1,1,1,1,1,1,1,1
1953.0,0.0,1,1,1,1,1,1,1,1
1953.0,18.0,4,4,4,4,4,4,4,4
1954.0,18.0,9,9,9,9,9,9,9,9
1955.0,0.0,4,4,4,4,4,4,4,4
1955.0,18.0,8,8,8,8,8,8,8,8
1955.0,23.0,1,1,1,1,1,1,1,1
1956.0,0.0,2,2,2,2,2,2,2,2
1956.0,18.0,7,7,7,7,7,7,7,7
1957.0,0.0,5,5,5,5,5,5,5,5
1957.0,18.0,10,10,10,10,10,10,10,10
