Mailing ZIP Code,US Congressional District,Gender,Perm ZIP Code,Status Code,Precinct ID,_merge,Age,Age at Registration,Registration Year
01545-0000,4.0,1,1,1,1,1,1,1,1
75032,1.0,4,4,4,4,4,4,4,4
75032,3.0,4,4,4,4,4,4,4,4
75032,4.0,21403,21403,21403,21403,21403,21403,21403,21403
75032,5.0,27,27,27,27,27,27,27,27
75032,6.0,1,1,1,1,1,1,1,1
75032,8.0,5,5,5,5,5,5,5,5
75032,10.0,5,5,5,5,5,5,5,5
75032,12.0,1,1,1,1,1,1,1,1
75032,17.0,7,7,7,7,7,7,7,7
75032,19.0,4,4,4,4,4,4,4,4
75032,20.0,1,1,1,1,1,1,1,1
75032,21.0,2,2,2,2,2,2,2,2
75032,23.0,1,1,1,1,1,1,1,1
75032,24.0,2,2,2,2,2,2,2,2
75032,25.0,5,5,5,5,5,5,5,5
75032,26.0,7,7,7,7,7,7,7,7
75032,28.0,1,1,1,1,1,1,1,1
75032,30.0,5,5,5,5,5,5,5,5
75032,32.0,20,20,20,20,20,20,20,20
75032,33.0,1,1,1,1,1,1,1,1
75126,1.0,7,7,7,7,7,7,7,7
75126,2.0,1,1,1,1,1,1,1,1
75126,3.0,6,6,6,6,6,6,6,6
75126,4.0,230,230,230,230,230,230,230,230
75126,5.0,27055,27055,27055,27055,27055,27055,27055,27055
75126,6.0,8,8,8,8,8,8,8,8
75126,8.0,2,2,2,2,2,2,2,2
75126,10.0,5,5,5,5,5,5,5,5
75126,11.0,1,1,1,1,1,1,1,1
75126,12.0,2,2,2,2,2,2,2,2
75126,13.0,2,2,2,2,2,2,2,2
75126,14.0,1,1,1,1,1,1,1,1
75126,15.0,1,1,1,1,1,1,1,1
75126,17.0,5,5,5,5,5,5,5,5
75126,18.0,1,1,1,1,1,1,1,1
75126,19.0,2,2,2,2,2,2,2,2
75126,20.0,3,3,3,3,3,3,3,3
75126,21.0,5,5,5,5,5,5,5,5
75126,24.0,6,6,6,6,6,6,6,6
75126,25.0,5,5,5,5,5,5,5,5
75126,26.0,8,8,8,8,8,8,8,8
75126,30.0,23,23,23,23,23,23,23,23
75126,32.0,27,27,27,27,27,27,27,27
75126,33.0,1,1,1,1,1,1,1,1
75126,35.0,7,7,7,7,7,7,7,7
79410-0000,1.0,1,1,1,1,1,1,1,1
79410-0000,2.0,1,1,1,1,1,1,1,1
79410-0000,3.0,2,2,2,2,2,2,2,2
79410-0000,4.0,1,1,1,1,1,1,1,1
79410-0000,6.0,3,3,3,3,3,3,3,3
79410-0000,7.0,1,1,1,1,1,1,1,1
79410-0000,11.0,3,3,3,3,3,3,3,3
79410-0000,12.0,1,1,1,1,1,1,1,1
79410-0000,16.0,1,1,1,1,1,1,1,1
79410-0000,19.0,12,12,12,12,12,12,12,12
79410-0000,20.0,1,1,1,1,1,1,1,1
79410-0000,21.0,1,1,1,1,1,1,1,1
79410-0000,23.0,2,2,2,2,2,2,2,2
79410-0000,24.0,4,4,4,4,4,4,4,4
79410-0000,26.0,1,1,1,1,1,1,1,1
79410-0000,28.0,1,1,1,1,1,1,1,1
79410-0000,32.0,2,2,2,2,2,2,2,2
24515,4.0,1,1,1,1,1,1,1,1
24515,12.0,1,1,1,1,1,1,1,1
24515,19.0,1,1,1,1,1,1,1,1
24515,31.0,1,1,1,1,1,1,1,1
76208,1.0,1,1,1,1,1,1,1,1
76208,3.0,5,5,5,5,5,5,5,5
76208,4.0,9,9,9,9,9,9,9,9
76208,5.0,2,2,2,2,2,2,2,2
76208,6.0,2,2,2,2,2,2,2,2
76208,7.0,1,1,1,1,1,1,1,1
