Precinct ID,Number of Voters
543383,10160
610200,9858
511598,9150
555443,8877
622557,8417
586674,8047
941866,8027
594753,7827
608353,7780
484142,7750
586666,7737
598613,7551
551254,7529
543412,7401
942350,7393
1001377,7376
941782,7367
608368,7356
620754,7302
600438,7225
511500,7072
578619,7057
541458,7043
565180,6990
513556,6973
541363,6968
706285,6936
574876,6936
941916,6895
941996,6860
561245,6858
541515,6848
578690,6753
507659,6751
633032,6739
610383,6721
539436,6682
527518,6674
572928,6657
565165,6656
622683,6643
594673,6634
588458,6631
715212,6572
941781,6559
620589,6558
941891,6527
576813,6463
1001367,6454
551228,6426
533548,6418
563282,6392
941966,6390
941894,6337
942355,6328
950582,6297
547237,6293
942373,6275
622571,6267
1001380,6251
507674,6219
549161,6189
942304,6171
942358,6159
600393,6154
555317,6152
594652,6065
565178,6063
551145,6047
543477,6024
574957,6023
633070,6001
633041,5997
692949,5984
649905,5979
495942,5975
561343,5964
574835,5944
941836,5943
533502,5913
570757,5910
1001369,5885
588472,5866
533473,5861
1001366,5837
567106,5828
555249,5822
622492,5811
578701,5810
993103,5805
576710,5800
610123,5791
555360,5786
582563,5774
610101,5767
941763,5762
539402,5747
1001348,5738
578687,5732
551184,5724
942062,5715
622545,5701
596640,5688
523496,5679
561316,5676
602253,5673
600379,5661
588593,5654
941800,5643
567061,5641
555484,5628
543560,5615
549204,5607
622672,5582
576672,5576
942038,5560
633052,5558
610375,5557
692305,5556
993125,5554
596542,5552
950273,5540
541590,5540
600434,5528
712618,5507
610310,5506
547226,5502
594684,5495
596711,5486
600497,5478
608403,5469
531409,5469
484081,5464
582454,5462
543489,5459
531416,5459
608246,5453
555389,5442
549251,5440
572822,5437
620732,5435
541581,5432
950861,5432
531443,5427
543522,5418
993124,5417
1064948,5416
559192,5415
565069,5405
541336,5400
513603,5395
660929,5395
941869,5391
941974,5391
602322,5387
596663,5375
565164,5374
555380,5372
608187,5358
573015,5357
588600,5346
515575,5344
537355,5342
491958,5342
941928,5334
555239,5330
633058,5317
606298,5315
622578,5307
950278,5299
525518,5285
543421,5263
561279,5262
541534,5256
561374,5251
941901,5248
565166,5248
541333,5243
541562,5232
515583,5232
602356,5230
513599,5229
531464,5227
941898,5227
610317,5222
942047,5218
606407,5218
596660,5213
576798,5207
941888,5205
572814,5200
555469,5194
633008,5189
484104,5181
950829,5174
517597,5167
523482,5163
586578,5155
567079,5149
572825,5147
491898,5139
622621,5138
563307,5137
543344,5136
539417,5118
1001389,5118
491963,5109
600452,5106
942287,5088
633031,5087
594645,5084
541533,5080
594783,5079
511600,5078
565241,5075
527547,5073
537371,5069
598519,5068
565041,5062
602327,5061
610230,5059
606369,5058
574896,5054
561227,5041
610347,5039
596601,5039
941942,5036
495927,5034
941970,5029
594676,5026
606364,5020
511574,5018
993110,5018
606314,5015
565135,5015
600412,5007
555437,4994
950682,4990
531476,4990
582529,4986
602340,4983
555324,4983
533501,4978
622639,4974
949994,4973
543447,4971
574849,4964
993101,4959
620592,4959
574802,4958
551226,4957
610155,4955
563195,4952
692304,4949
533484,4948
633138,4944
484218,4943
565021,4942
553258,4942
596585,4936
942303,4933
511505,4930
555314,4928
586548,4927
541506,4926
712617,4924
598465,4915
610149,4907
602240,4900
555406,4898
578792,4894
559138,4893
566939,4887
582547,4884
941994,4878
596693,4876
572973,4872
586579,4870
531461,4869
600476,4869
572982,4869
608218,4868
549247,4865
517576,4863
596710,4863
610328,4859
941952,4858
551159,4857
600462,4855
541352,4855
582451,4851
484111,4846
598587,4843
596572,4829
578748,4823
582572,4817
586690,4814
537376,4814
949962,4809
622633,4808
555230,4804
950357,4802
491941,4801
941887,4795
527542,4793
573007,4792
941950,4792
620779,4785
586632,4783
941802,4782
495915,4781
525497,4780
620647,4772
551231,4772
559118,4770
608195,4767
547152,4765
942405,4763
950282,4759
941880,4758
492006,4758
610330,4755
541477,4752
563153,4748
941941,4748
553232,4747
559105,4746
533641,4744
507645,4741
598528,4739
582426,4737
555214,4733
574812,4728
576784,4724
484190,4723
620625,4723
598595,4717
600469,4717
511485,4711
950013,4711
555212,4709
620637,4709
1064986,4707
495921,4701
608275,4696
576683,4686
511559,4682
567080,4679
713905,4679
950236,4677
559104,4676
578802,4671
541493,4671
950283,4670
633190,4668
563228,4667
578781,4665
541619,4663
633101,4661
713287,4654
484206,4652
622514,4650
588437,4650
543451,4650
525507,4649
551156,4647
563215,4644
633005,4642
578808,4642
484071,4641
576726,4639
537391,4635
555343,4631
559140,4622
537375,4620
942026,4620
600360,4617
723520,4614
588668,4613
608379,4612
941998,4611
525515,4606
600448,4599
942353,4597
511589,4595
941839,4591
523452,4591
537316,4588
547239,4588
570814,4587
555346,4587
598455,4586
533619,4584
574793,4582
606426,4579
523475,4579
950426,4573
942040,4570
596617,4568
610203,4565
561219,4565
598436,4562
537382,4559
418498,4558
555337,4557
941980,4557
602333,4553
610361,4553
942348,4551
555372,4549
533472,4546
551233,4543
578722,4539
551232,4538
620738,4538
491895,4537
561249,4537
515615,4536
622634,4535
596671,4529
950242,4529
541571,4528
588640,4517
537372,4516
572804,4516
570791,4515
582550,4514
588601,4513
941958,4512
950004,4512
565121,4511
576719,4509
578673,4508
588679,4505
941868,4504
610115,4504
620602,4499
600494,4499
513588,4497
555261,4496
706284,4493
491993,4490
549257,4489
533489,4487
941864,4484
941931,4483
533542,4481
541407,4481
596674,4481
1064969,4481
541553,4480
574759,4480
533564,4477
541463,4477
563139,4476
533416,4476
941995,4470
541440,4464
588521,4462
572845,4461
511537,4460
561315,4454
588689,4452
555479,4450
572909,4446
950880,4444
608389,4440
608347,4437
941909,4432
950375,4431
941933,4431
574901,4428
555455,4428
543515,4428
570810,4427
578581,4423
566991,4422
574810,4421
566924,4420
598574,4415
942104,4413
570832,4406
574863,4405
942364,4405
559103,4405
495968,4404
578608,4403
600362,4402
515551,4398
622635,4395
706287,4395
941896,4392
941879,4390
491910,4390
606423,4389
555439,4389
1064918,4386
565110,4385
620704,4385
561196,4383
941893,4383
610131,4382
950248,4380
541578,4380
950737,4379
578692,4378
942185,4378
553215,4377
582417,4377
555504,4376
555287,4376
594739,4376
533525,4376
551214,4375
606323,4373
602288,4372
576675,4369
588699,4363
600419,4360
537340,4356
596659,4354
689961,4353
941897,4350
572988,4348
713906,4347
622663,4345
941948,4343
941938,4343
565092,4342
559170,4336
523471,4334
555303,4334
527541,4333
561197,4329
941963,4325
941892,4324
533640,4321
523453,4316
491937,4314
950607,4307
531470,4305
588597,4304
574875,4302
572939,4302
950036,4300
942351,4300
588544,4299
537393,4296
543366,4293
950175,4293
574970,4293
633051,4288
608308,4287
594732,4287
941904,4284
950254,4283
543394,4283
543356,4282
541452,4282
578798,4282
578700,4274
942231,4274
517617,4273
620741,4271
950272,4271
941900,4270
547204,4268
555263,4265
511579,4263
576805,4263
942078,4260
598611,4258
517601,4257
543346,4257
941990,4250
941959,4250
507670,4249
559166,4249
622544,4249
1064952,4246
547183,4245
541560,4242
596543,4241
633045,4238
484098,4237
608229,4236
555359,4235
625874,4234
567039,4233
941882,4232
576698,4230
941918,4227
561379,4227
555528,4227
942030,4226
576808,4226
602438,4225
1001368,4223
950257,4220
551187,4219
588508,4218
561358,4215
484175,4213
567069,4212
523444,4212
941919,4211
484172,4210
588666,4210
598523,4209
549249,4209
572817,4207
942366,4204
950867,4203
507664,4198
537416,4198
574784,4195
543445,4192
993111,4191
602274,4189
555160,4187
633142,4186
531413,4186
950893,4185
541518,4184
588557,4179
563304,4177
565230,4174
598508,4172
549262,4170
565160,4169
620778,4162
941842,4161
484096,4159
517631,4157
606387,4156
600367,4155
572883,4155
484130,4155
563306,4154
537383,4151
517587,4150
555284,4150
598553,4149
541545,4149
533581,4148
561305,4146
547146,4145
608224,4143
950825,4142
941961,4139
565067,4138
708568,4136
608268,4132
533624,4129
533387,4128
547203,4124
594694,4124
1064979,4123
594812,4119
537363,4115
950371,4115
561314,4114
543465,4113
547202,4110
563131,4110
633078,4109
950246,4108
594675,4108
572958,4105
491967,4104
537386,4104
608191,4103
574871,4103
531414,4103
541504,4101
553245,4099
555333,4098
602410,4096
633110,4096
950078,4096
610244,4096
555515,4092
582560,4092
598571,4089
515624,4089
537313,4080
513550,4077
594777,4077
515611,4077
563181,4076
563152,4071
515587,4071
555519,4070
620685,4068
527515,4068
941979,4067
549201,4067
576807,4065
533403,4063
942402,4062
541509,4061
950400,4059
622488,4059
576696,4059
543355,4058
941926,4054
602415,4052
537356,4048
950452,4047
511506,4043
633095,4039
574982,4038
551157,4036
539409,4035
555541,4034
574874,4027
543504,4026
547137,4026
610108,4025
537370,4024
551179,4019
598597,4018
567087,4014
950590,4014
941899,4013
598588,4009
941921,4008
598561,4007
942312,4002
633140,4002
1001424,4001
941993,4001
543500,4001
559197,4001
608230,4001
610187,4000
941989,3999
588514,3997
622707,3995
533389,3994
511557,3993
570765,3992
533360,3992
942400,3989
942239,3988
942403,3986
553183,3985
942043,3984
942018,3982
586682,3980
1064962,3980
576720,3980
578694,3977
942320,3971
533430,3971
586609,3971
610252,3969
588473,3967
551178,3967
692946,3966
586568,3966
553272,3965
567038,3961
484136,3959
598481,3957
549261,3956
633120,3955
950015,3954
549242,3953
543541,3953
596611,3952
596697,3949
608234,3949
547151,3948
950182,3944
563194,3942
555293,3941
949963,3936
551165,3934
484183,3931
537317,3929
950425,3929
610358,3929
555429,3928
1001395,3927
563324,3924
555247,3922
565201,3920
484170,3918
555373,3917
561205,3916
942359,3915
507686,3915
950330,3912
667524,3912
578586,3911
555423,3907
586564,3907
515606,3907
561377,3906
602445,3904
682141,3903
567035,3900
547164,3898
610370,3898
576866,3897
547234,3895
586537,3890
620684,3890
533471,3889
566944,3888
541479,3885
941937,3883
950219,3882
533386,3880
602306,3877
511529,3877
582413,3877
594635,3874
942344,3874
633061,3874
942273,3872
941847,3870
942241,3869
941906,3866
942082,3865
950558,3865
682139,3862
541377,3859
555136,3857
610216,3856
559177,3852
511527,3852
941843,3850
566970,3847
942419,3846
547128,3845
606430,3845
533622,3843
582543,3841
566947,3838
713285,3837
484176,3837
567036,3835
606285,3832
600415,3830
561338,3830
495901,3829
706288,3828
586550,3826
633024,3824
578788,3823
950866,3823
491974,3822
941915,3822
563239,3819
608292,3818
950048,3818
547156,3815
572969,3814
531472,3813
941956,3811
551192,3809
942027,3809
596624,3809
596713,3808
517572,3808
527509,3807
523480,3804
942055,3803
511472,3802
555354,3802
543416,3802
942404,3801
543475,3800
942023,3798
495955,3798
993116,3798
942319,3797
484084,3789
1064970,3788
606432,3787
543376,3786
712619,3783
578772,3783
533483,3781
588639,3780
596578,3778
610295,3777
620620,3774
555487,3774
533420,3771
525524,3771
555428,3770
594677,3769
950045,3769
942066,3767
941924,3767
513624,3766
572850,3763
525537,3762
588471,3760
950165,3757
582444,3756
594742,3756
547206,3751
565107,3749
620716,3749
572912,3748
578771,3747
484068,3747
1064898,3746
495911,3746
547182,3745
513576,3744
515561,3743
620586,3743
610112,3743
1001393,3742
566971,3741
942279,3741
531448,3739
555237,3738
941885,3738
598460,3736
582484,3735
543501,3734
559128,3734
942365,3733
602286,3732
573034,3731
561325,3730
551218,3729
495904,3725
950235,3724
565199,3723
606428,3723
941997,3723
572828,3722
567053,3720
574927,3717
606306,3715
515597,3711
563117,3711
561382,3711
600388,3710
491901,3710
574944,3710
699291,3710
574965,3708
633193,3708
541554,3707
941907,3707
942029,3706
622502,3706
541423,3701
576691,3699
622577,3696
622638,3693
950335,3689
566997,3687
1064971,3685
608344,3683
602365,3682
555143,3676
602289,3673
620720,3672
632993,3670
572900,3669
572820,3666
606433,3665
533449,3665
541339,3664
608360,3663
588626,3662
941972,3662
511541,3661
531459,3659
608284,3658
515557,3658
527546,3656
950350,3654
950274,3651
598558,3649
549181,3649
600459,3647
598570,3646
632980,3644
610342,3644
608346,3644
553273,3644
620750,3640
941965,3639
706286,3637
602398,3636
942285,3635
572787,3634
565061,3634
541433,3632
949969,3631
950881,3630
586641,3630
620691,3628
572889,3627
537333,3626
606361,3624
572910,3623
517528,3623
941827,3620
596564,3619
610103,3619
484095,3619
565217,3619
610258,3618
541341,3616
610099,3614
523466,3610
949999,3609
950107,3609
941778,3608
633060,3606
950359,3604
608251,3603
559120,3600
547142,3598
572943,3597
610133,3595
1001370,3594
527521,3593
610234,3593
588667,3592
578762,3591
555174,3591
633188,3591
950454,3589
531411,3589
602350,3589
551141,3586
517540,3586
507661,3585
563164,3584
950026,3583
541401,3582
622607,3582
596677,3580
941910,3580
594803,3579
942387,3574
622648,3571
543387,3571
610137,3571
942184,3564
594668,3564
484168,3562
574783,3562
517634,3561
620695,3560
991452,3560
561233,3557
573000,3555
582614,3555
693588,3554
1001379,3554
594744,3549
942164,3549
596608,3548
572779,3544
543389,3543
543382,3542
533436,3540
515610,3540
950155,3540
541397,3540
561224,3539
600344,3538
608337,3538
578578,3537
561193,3536
622522,3535
576821,3534
578708,3531
523481,3527
622494,3525
942410,3524
582574,3520
484171,3519
941903,3518
551208,3517
566989,3513
527538,3513
553195,3510
543471,3508
574909,3506
606280,3506
549237,3506
620588,3505
620763,3505
541357,3504
582443,3504
608200,3503
567064,3501
525516,3501
555449,3501
572919,3498
598459,3497
555307,3497
541587,3496
576864,3496
941914,3496
633131,3494
602450,3493
942235,3492
543498,3489
1064950,3487
515559,3487
567057,3487
515601,3487
942073,3487
578736,3486
537319,3486
555408,3486
570768,3485
942381,3485
561232,3483
633069,3480
941884,3479
622626,3479
537321,3476
511592,3476
565134,3474
491956,3472
991458,3470
555328,3469
950271,3469
551175,3469
606287,3468
511473,3467
549175,3467
950362,3465
537385,3464
950238,3464
576782,3462
942328,3461
565046,3458
620634,3456
582502,3456
492004,3455
541383,3454
547195,3454
511555,3453
582428,3453
578649,3453
578744,3451
993135,3450
